participant_id,trial_num,word,color,condition,response,rt,correct,age,gender
No2,1,BLUE,red,incongruent,r,1.0515449,1,24,Male
No2,2,GREEN,green,congruent,g,0.7151661,1,24,Male
No2,3,BLUE,red,incongruent,no_response,1.5,0,24,Male
No2,4,GREEN,yellow,incongruent,y,0.6296355,1,24,Male
No2,5,GREEN,red,incongruent,r,1.0269922,1,24,Male
No2,6,RED,green,incongruent,g,1.0899674,1,24,Male
No2,7,GREEN,red,incongruent,r,0.8822767,1,24,Male
No2,8,GREEN,red,incongruent,r,0.7056424,1,24,Male
No2,9,GREEN,yellow,incongruent,y,0.9806865,1,24,Male
No2,10,YELLOW,red,incongruent,g,1.2064141,0,24,Male
No2,11,YELLOW,blue,incongruent,b,0.7303174,1,24,Male
No2,12,GREEN,blue,incongruent,b,0.7576309,1,24,Male
No2,13,RED,blue,incongruent,b,0.5289495,1,24,Male
No2,14,GREEN,blue,incongruent,b,0.5048278,1,24,Male
No2,15,YELLOW,yellow,congruent,y,0.8291249,1,24,Male
No2,16,BLUE,yellow,incongruent,y,0.5110478,1,24,Male
No2,17,BLUE,green,incongruent,r,0.8521112,0,24,Male
No2,18,BLUE,blue,congruent,b,0.6980359,1,24,Male
No2,19,RED,red,congruent,r,0.7721978,1,24,Male
No2,20,BLUE,blue,congruent,b,1.0443738,1,24,Male
No2,21,RED,yellow,incongruent,y,1.001865,1,24,Male
No2,22,YELLOW,red,incongruent,r,0.8451958,1,24,Male
No2,23,BLUE,yellow,incongruent,b,0.8428858,0,24,Male
No2,24,RED,yellow,incongruent,r,0.8907417,0,24,Male
No2,25,GREEN,blue,incongruent,g,0.889702,0,24,Male
No2,26,BLUE,yellow,incongruent,y,0.8345708,1,24,Male
No2,27,BLUE,blue,congruent,b,0.7660099,1,24,Male
No2,28,YELLOW,red,incongruent,y,0.7815004,0,24,Male
No2,29,BLUE,red,incongruent,g,1.2026973,0,24,Male
No2,30,YELLOW,yellow,congruent,r,0.3972541,0,24,Male
No2,31,YELLOW,green,incongruent,y,0.354774,0,24,Male
No2,32,GREEN,green,congruent,g,0.9453884,1,24,Male
No2,33,RED,red,congruent,r,0.7437477,1,24,Male
No2,34,RED,green,incongruent,r,1.0027938,0,24,Male
No2,35,RED,blue,incongruent,r,0.8200416,0,24,Male
No2,36,GREEN,green,congruent,g,1.1515186,1,24,Male
No2,37,RED,red,congruent,y,0.6344585,0,24,Male
No2,38,YELLOW,blue,incongruent,r,0.9099583,0,24,Male
No2,39,BLUE,green,incongruent,g,0.8767117,1,24,Male
No2,40,RED,yellow,incongruent,y,1.3095297,1,24,Male
No2,41,GREEN,yellow,incongruent,y,0.6193354,1,24,Male
No2,42,YELLOW,yellow,congruent,y,1.12997,1,24,Male
No2,43,YELLOW,green,incongruent,r,1.281325,0,24,Male
No2,44,YELLOW,blue,incongruent,b,0.6212336,1,24,Male
No2,45,RED,blue,incongruent,b,1.0132101,1,24,Male
No2,46,RED,green,incongruent,g,1.0419337,1,24,Male
No2,47,BLUE,green,incongruent,b,0.97173,0,24,Male
No2,48,YELLOW,green,incongruent,y,0.7664392,0,24,Male
